"x","y","z","code"
"-0.40957602214449584","0.7094064799162227","-0.5735764363510458","5e"
"-1.4275939712528578E-16","-0.777145961456971","-0.6293203910498373","1h2"
"0.4095760221444961","0.7094064799162226","-0.5735764363510458","e4"
"-0.5000000000000004","-0.8660254037844385","6.123233995736766E-17","14b"
"6.119503887030809E-17","0.9993908270190958","-0.03489949670250073","5s1"
"-0.8191520442889918","1.0031719290535247E-16","0.573576436351046","e3"
"0.8191520442889918","0.0","0.573576436351046","oe"
"1.2246467991473532E-16","0.0","-1.0","1c4"
"-0.6730281450702191","-0.3885729807284856","-0.6293203910498373","1ho"
"0.5000000000000001","0.8660254037844386","6.123233995736766E-17","b14"
"-1.4275939712528573E-16","-0.7771459614569708","0.6293203910498375","4h5"
"-0.8654978445076765","0.4996954135095478","-0.03489949670250073","2so"
"0.8654978445076765","0.4996954135095478","-0.03489949670250073","3s1"
"0.4095760221444961","-0.7094064799162226","-0.5735764363510458","e2"
"-0.40957602214449573","0.7094064799162225","0.573576436351046","2e"
"0.0","0.0","1.0","4c1"
"1.0","0.0","6.123233995736766E-17","o3b"
"0.5000000000000001","-0.8660254037844386","6.123233995736766E-17","b25"
"-0.4999999999999998","0.8660254037844387","6.123233995736766E-17","25b"
"0.673028145070219","0.38857298072848534","0.6293203910498375","oh1"
"-0.673028145070219","0.38857298072848534","0.6293203910498375","2h3"
"0.6730281450702187","-0.38857298072848573","0.6293203910498375","oh5"
"-0.4095760221444963","-0.7094064799162224","0.573576436351046","4e"
"-0.4095760221444964","-0.7094064799162225","-0.5735764363510458","1e"
"0.409576022144496","0.7094064799162224","0.573576436351046","e1"
"4.758646570842858E-17","0.7771459614569708","0.6293203910498375","2h1"
"0.819152044288992","0.0","-0.5735764363510458","3e"
"0.6730281450702189","-0.38857298072848584","-0.6293203910498373","3h2"
"0.8654978445076762","-0.4996954135095483","0.03489949670250108","os2"
"-0.6730281450702189","-0.3885729807284855","0.6293203910498375","4h3"
"-1.0","1.2246467991473532E-16","6.123233995736766E-17","bo3"
"-1.8358511661092426E-16","-0.9993908270190958","0.03489949670250108","1s5"
"0.409576022144496","-0.7094064799162224","0.573576436351046","e5"
"-0.6730281450702191","0.38857298072848545","-0.6293203910498373","5ho"
"0.6730281450702191","0.38857298072848545","-0.6293203910498373","3h4"
"4.7586465708428594E-17","0.777145961456971","-0.6293203910498373","5h4"
"-0.819152044288992","1.003171929053525E-16","-0.5735764363510458","eo"
"-0.8654978445076764","-0.499695413509548","0.03489949670250108","1s3"
